System,teff,teffuerr,tefflerr,Pflag,lambdadeg,lambdadeguerr,lambdadeglerr,psi,psiuerr,psilerr,Author_string,Ephemeris_Url,normalized_lambdadeg,normalized_lambdauerr,normalized_lambdalerr,Albrecht2022_Excluded_Flag,BinaryMultiStarFlag,TIC,SOCatflag,Method,pl_orbper,pl_orbperuerr,pl_orbperlerr,pl_orbeccen,pl_orbeccenuerr,pl_orbeccenlerr,pl_orbsmax,pl_orbsmaxuerr,pl_orbsmaxlerr,pl_orbincl,pl_orbincluerr,pl_orbincllerr,pl_bmassj,pl_bmassjuerr,pl_bmassjlerr,pl_radj,pl_radjuerr,pl_radjlerr,pl_ratror,pl_ratroruerr,pl_ratrorlerr,pl_ratdor,pl_ratdoruerr,pl_ratdorlerr,pl_imppar,pl_impparuerr,pl_impparlerr,pl_trandur,pl_tranduruerr,pl_trandurlerr,st_mass,st_massuerr,st_masslerr,st_vsin,st_vsinuerr,st_vsinlerr,st_rad,st_raduerr,st_radlerr,st_met,st_metuerr,st_metlerr,st_logg,st_logguerr,st_logglerr,st_age,st_ageuerr,st_agelerr
55_Cnc_e,5172,18,18,n,72.4,12.7,11.5,-999.0,-999.0,-999.0,Bourrier_&amp;_H&eacute;brard_(2014),https://ui.adsabs.harvard.edu/abs/2014A%26A...569A..65B,72.4,12.7,11.5,0,SFN,TIC 332064670,n,RM,0.7365474,1.3e-06,1.4e-06,0.05,0.03,0.03,0.01544,5e-05,5e-05,83.59,0.47,0.44,0.02513923,0.00100683,0.00103829,0.1672763,0.00258721,0.00258721,0.0182,0.0002,0.0002,3.52,0.01,0.01,0.39,0.03,0.03,1.5439,0.0027,0.0026,0.905,0.015,0.015,1.23,0.01,0.01,0.943,0.01,0.01,0.35,0.1,0.1,4.43,0.02,0.02,5.5,2.5,2.5
55_Cnc_e,5172,18,18,y,10.0,17.0,20.0,23.0,14.0,12.0,Zhao_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023NatAs...7..198Z,10.0,17.0,20.0,0,SFN,TIC 332064670,y,RM,0.7365474,1.3e-06,1.4e-06,0.05,0.03,0.03,0.01544,5e-05,5e-05,83.59,0.47,0.44,0.02513923,0.00100683,0.00103829,0.1672763,0.00258721,0.00258721,0.0182,0.0002,0.0002,3.52,0.01,0.01,0.39,0.03,0.03,1.5439,0.0027,0.0026,0.905,0.015,0.015,1.23,0.01,0.01,0.943,0.01,0.01,0.35,0.1,0.1,4.43,0.02,0.02,5.5,2.5,2.5
AU_Mic_b,3540,120,110,y,-4.7,6.8,6.4,-999.0,-999.0,-999.0,Hirano_et_al._(2020),https://ui.adsabs.harvard.edu/abs/2020ApJ...899L..13H,4.7,6.4,6.8,0,,TIC 441420236,n,DT,8.463446,5e-06,5e-06,0.07,0.09,0.04,0.07,0.006,0.007,88.39,0.2,0.23,0.0282857,0.00821198,0.00840076,0.42733591,0.02587211,0.02587211,0.0499,0.0004,0.0004,17.51,1.12,1.24,0.502,0.044,0.048,3.24,0.23,0.21,0.635,0.04,0.07,9.2,0.2,0.2,0.862,0.052,0.052,0.01,0.06,0.06,4.37,0.08,0.1,0.019,0.01,0.006
AU_Mic_b,3540,120,110,n,-0.1,5.1,5.0,-999.0,-999.0,-999.0,Martioli_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021A%26A...649A.177M,0.1,5.0,5.1,0,,TIC 441420236,n,RM,8.463446,5e-06,5e-06,0.07,0.09,0.04,0.07,0.006,0.007,88.39,0.2,0.23,0.0282857,0.00821198,0.00840076,0.42733591,0.02587211,0.02587211,0.0499,0.0004,0.0004,17.51,1.12,1.24,0.502,0.044,0.048,3.24,0.23,0.21,0.635,0.04,0.07,9.2,0.2,0.2,0.862,0.052,0.052,0.01,0.06,0.06,4.37,0.08,0.1,0.019,0.01,0.006
AU_Mic_b,3540,120,110,n,-3.0,10.4,10.3,-999.0,-999.0,-999.0,Palle_et_al._(2020),https://ui.adsabs.harvard.edu/abs/2020A%26A...643A..25P,3.0,10.3,10.4,0,,TIC 441420236,n,RM,8.463446,5e-06,5e-06,0.07,0.09,0.04,0.07,0.006,0.007,88.39,0.2,0.23,0.0282857,0.00821198,0.00840076,0.42733591,0.02587211,0.02587211,0.0499,0.0004,0.0004,17.51,1.12,1.24,0.502,0.044,0.048,3.24,0.23,0.21,0.635,0.04,0.07,9.2,0.2,0.2,0.862,0.052,0.052,0.01,0.06,0.06,4.37,0.08,0.1,0.019,0.01,0.006
AU_Mic_b,3540,120,110,n,5.0,16.0,15.0,-999.0,-999.0,-999.0,Addison_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021AJ....162..137A,5.0,16.0,15.0,0,,TIC 441420236,y,RM,8.463446,5e-06,5e-06,0.07,0.09,0.04,0.07,0.006,0.007,88.39,0.2,0.23,0.0282857,0.00821198,0.00840076,0.42733591,0.02587211,0.02587211,0.0499,0.0004,0.0004,17.51,1.12,1.24,0.502,0.044,0.048,3.24,0.23,0.21,0.635,0.04,0.07,9.2,0.2,0.2,0.862,0.052,0.052,0.01,0.06,0.06,4.37,0.08,0.1,0.019,0.01,0.006
AU_Mic_c,3540,120,110,y,68.0,32.0,49.0,-999.0,-999.0,-999.0,Yu_et_al._(2025),https://ui.adsabs.harvard.edu/abs/2025MNRAS.536.2046Y,68.0,32.0,49.0,0,,TIC 441420236,y,RM,18.859023,2.2e-05,2.4e-05,0.18,0.08,0.07,0.119,0.011,0.011,89.46,0.43,0.38,0.04549625,0.01019418,0.01076052,0.24890756,0.01605855,0.01516641,0.0291,0.0005,0.0003,29.87,1.91,2.11,0.259,0.203,0.178,4.29,0.3,0.27,0.635,0.04,0.07,9.2,0.2,0.2,0.862,0.052,0.052,0.01,0.06,0.06,4.37,0.08,0.1,0.019,0.01,0.006
CoRoT-01,5950,150,150,y,77.0,11.0,11.0,-999.0,-999.0,-999.0,Pont_et_al._(2010),https://ui.adsabs.harvard.edu/abs/2010MNRAS.402L...1P,77.0,11.0,11.0,1,,TIC 36352297,y,RM,1.5089557,6.4e-06,6.4e-06,0.0,,,0.02752,0.00022,0.00023,85.1,0.5,0.5,1.03,0.12,0.12,1.49,0.08,0.08,0.1388,0.0021,0.0021,4.92,0.08,0.08,0.35,0.08,0.08,2.373,0.245,0.245,0.95,0.15,0.15,5.2,1.0,1.0,1.11,0.05,0.05,-0.3,0.25,0.25,4.25,0.3,0.3,1.6,0.5,0.5
CoRoT-02,5598,50,50,y,7.2,4.5,4.5,-999.0,-999.0,-999.0,Bouchy_et_al._(2008),https://ui.adsabs.harvard.edu/abs/2008A%26A...482L..25B,7.2,4.5,4.5,0,NG,TIC 391958006,n,RM,1.7429935,1e-06,1e-06,0.0143,0.0077,0.0076,0.02798,0.00076,0.0008,88.08,0.18,0.16,3.47,0.22,0.22,1.466,0.042,0.044,0.1667,0.0006,0.0006,6.7,0.03,0.03,0.221,0.017,0.019,2.26704,0.00264,0.0024,0.96,0.08,0.08,10.87,0.32,0.32,0.906,0.026,0.027,0.04,0.05,0.05,4.53,0.016,0.016,2.7,3.2,2.7
CoRoT-02,5598,50,50,n,-1.0,6.0,7.7,-999.0,-999.0,-999.0,Czesla_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012A%26A...539A.150C,1.0,7.7,6.0,0,NG,TIC 391958006,y,RM,1.7429935,1e-06,1e-06,0.0143,0.0077,0.0076,0.02798,0.00076,0.0008,88.08,0.18,0.16,3.47,0.22,0.22,1.466,0.042,0.044,0.1667,0.0006,0.0006,6.7,0.03,0.03,0.221,0.017,0.019,2.26704,0.00264,0.0024,0.96,0.08,0.08,10.87,0.32,0.32,0.906,0.026,0.027,0.04,0.05,0.05,4.53,0.016,0.016,2.7,3.2,2.7
